"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"1",17,175,331.494,94.586,51.941,19.335,11.524,147.43,0.815,19.723,2,323,90,149.534,12.895,1.678,0.596,0.897,"0",195.094760312152,6.828,"0"
"2",39,129,824.88,464.322,42.042,15.378,10.681,56.72,0.917,16.401,2,820,471,52.431,11.6,1.44,0.695,0.925,"0",139.459459459459,4.801,"0"
"3",87,145,383.176,479.203,46.042,16.812,10.981,159.331,0.86,17.804,3,376,474,141.843,11.7,1.531,0.653,0.912,"0",158.991228070175,6.104,"0"
"4",125,162,106.395,482.006,49.598,19.825,10.404,136.657,0.828,20,5,100,474,126.87,10.607,1.905,0.525,0.908,"0",178.4140969163,9.393,"0"
"5",131,173,155.714,37.645,54.527,17.179,12.822,58.036,0.731,18.028,6,148,42,33.69,14.849,1.34,0.746,0.863,"0",200.463499420626,3.179,"0"
"6",170,558,456.993,432.901,175.64,65.162,10.903,3.324,0.227,72.993,8,420,442,9.462,17.533,5.977,0.167,0.602,"1",926.910299003322,55.46,"0"
"7",172,415,81.319,458.242,125.439,38.55,13.707,174.123,0.331,47.127,8,55,447,162.719,19.097,2.813,0.356,0.58,"1",715.51724137931,28.03,"0"
"8",201,495,449.413,39.229,171.823,60.112,10.485,139.947,0.211,71.218,9,425,17,141.843,19.695,5.733,0.174,0.492,"1",1006.09756097561,51.523,"0"
"9",218,370,621.965,615.046,123.196,33.445,14.086,137.044,0.306,41.869,9,609,600,130.156,20.883,2.374,0.421,0.613,"1",603.588907014682,20.986,"0"
"10",245,408,151.38,288.882,133.48,43.776,11.867,116.061,0.288,49.659,11,147,267,115.017,18.231,3.689,0.271,0.548,"1",744.525547445255,31.428,"0"
"11",251,415,837.257,829.339,132.853,44.033,12,144.245,0.295,48.301,11,817,819,152.904,17.648,3.669,0.273,0.605,"1",685.950413223141,30.653,"0"
"12",302,464,893.377,42.026,128.953,43.675,13.527,171.763,0.351,48.836,14,866,35,169.38,18.885,3.229,0.31,0.709,"1",654.44287729196,29.951,"0"
"13",317,407,354.365,574.544,120.125,33.477,15.48,123.76,0.354,40.817,14,337,559,120.964,21.855,2.163,0.462,0.604,"1",673.841059602649,18.962,"0"
"14",331,281,213.952,921.44,95.497,38.145,9.379,176.526,0.387,39.319,14,193,916,172.694,12.431,4.067,0.246,0.71,"1",395.774647887324,26.888,"0"
"15",333,282,217.394,69.78,73.841,30.73,11.684,29.75,0.65,30.017,15,204,77,29.982,13.035,2.63,0.38,0.869,"0",324.510932105869,16.982,"0"
"16",367,312,340.163,979.939,88.083,32.036,12.4,51.053,0.505,33.971,15,327,989,42.614,16.523,2.584,0.387,0.779,"1",400.513478818999,17.448,"0"
"17",379,393,979.698,376.274,110.083,48.28,10.364,73.566,0.408,47.434,16,974,398,71.565,14.481,4.658,0.215,0.755,"1",520.529801324503,32.953,"0"
"18",436,343,49.378,214.978,94.811,36.73,11.89,135.556,0.479,38.419,18,34,200,141.34,16.293,3.089,0.324,0.782,"1",438.618925831202,22.126,"0"
"19",442,376,759.412,486.128,107.497,37.606,12.731,101.172,0.409,41.485,18,757,463,105.376,17.804,2.954,0.339,0.679,"1",553.755522827688,23.681,"0"
"20",463,382,931.361,55.005,111.539,40.979,11.869,138.479,0.386,42.521,19,918,41,138.814,17.753,3.453,0.29,0.687,"1",556.040756914119,24.768,"0"
"21",466,136,918.301,131.699,46.87,15.744,10.999,36.481,0.778,18.439,19,912,137,40.601,12.4,1.431,0.699,0.866,"0",157.043879907621,6.039,"0"
"22",525,320,777.538,305.613,87.154,35.893,11.351,54.712,0.529,36.359,21,770,321,58.496,14.685,3.162,0.316,0.805,"1",397.515527950311,21.674,"0"
"23",538,316,432.361,785.576,88.083,37.571,10.709,107.984,0.512,36.249,21,423,769,114.444,12.362,3.508,0.285,0.819,"1",385.836385836386,23.887,"0"
"24",558,194,476.247,857.165,53.941,20.286,12.176,60.102,0.838,21.095,22,470,866,58.57,13.416,1.666,0.6,0.911,"0",212.952799121844,7.679,"0"
"25",565,305,491.421,101.041,82.326,28.997,13.392,176.319,0.566,31.048,23,476,94,165.069,16,2.165,0.462,0.81,"1",376.543209876543,15.048,"0"
"26",569,154,128.708,212.708,48.87,17.511,11.198,169.443,0.81,18.788,23,120,210,154.799,11,1.564,0.639,0.933,"0",165.058949624866,7.788,"0"
"27",580,192,679.651,507.323,53.941,21.031,11.624,58.416,0.829,21.095,23,674,516,58.57,12.4,1.809,0.553,0.916,"0",209.606986899563,8.695,"0"
"28",604,265,709.221,135.043,77.497,28.417,11.873,108.088,0.554,29.411,24,706,120,107.819,14.755,2.393,0.418,0.774,"0",342.377260981912,14.656,"0"
"29",617,176,172.119,803.835,50.042,18.442,12.151,79.224,0.883,18.974,24,170,813,71.565,12,1.518,0.659,0.936,"0",188.034188034188,6.974,"0"
