"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"1",3,168,732.018,360.679,60.184,18.28,11.701,152.812,0.583,19.849,1,724,354,139.086,13.582,1.562,0.64,0.818,"0",205.378973105134,6.267,"0"
"2",4,167,431.889,483.356,50.527,19.013,11.183,134.535,0.822,19.849,1,425,476,130.914,12.021,1.7,0.588,0.884,"0",188.914027149321,7.828,"0"
"3",17,175,331.494,94.586,51.941,19.335,11.524,147.43,0.815,19.723,2,323,90,149.534,12.895,1.678,0.596,0.897,"0",195.094760312152,6.828,"0"
"4",19,147,850.677,103.656,45.113,16.461,11.371,51.49,0.908,17.205,2,844,109,35.538,12.021,1.448,0.691,0.91,"0",161.538461538462,5.184,"0"
"5",24,187,628.468,176.767,53.698,20.556,11.583,148.579,0.815,21.932,2,620,169,136.848,12.522,1.775,0.563,0.914,"0",204.595185995624,9.41,"0"
"6",30,170,564.135,280.059,49.698,19.131,11.314,69.799,0.865,19.313,2,560,289,68.749,12.075,1.691,0.591,0.919,"0",184.983677910773,7.238,"0"
"7",36,157,259.258,438.768,48.77,18.557,10.772,121.798,0.829,18.974,2,256,430,108.435,11.6,1.723,0.58,0.885,"0",177.401129943503,7.374,"0"
"8",38,123,147.963,447.695,42.042,14.536,10.774,160.708,0.874,15.232,2,141,445,156.801,11.538,1.349,0.741,0.904,"0",136.061946902655,3.694,"0"
"9",40,189,555.749,480.262,53.355,20.894,11.517,135.196,0.834,21.932,2,548,472,133.152,12.021,1.814,0.551,0.902,"0",209.534368070953,9.911,"0"
"10",41,197,884.322,485.048,58.284,22.224,11.286,95.349,0.729,23.087,2,884,473,94.97,12,1.969,0.508,0.891,"0",221.099887766554,11.087,"0"
"11",42,124,354.766,515.734,41.213,13.935,11.33,84.006,0.917,14.866,2,353,523,70.346,11,1.23,0.813,0.929,"0",133.476856835307,3.866,"0"
"12",46,153,920.781,555.343,46.527,16.824,11.579,132.348,0.888,17.493,2,916,548,120.964,12.021,1.453,0.688,0.887,"0",172.491544532131,5.472,"0"
"13",50,143,715.948,612.696,44.042,15.379,11.839,102.882,0.926,16.553,2,713,605,115.017,12,1.299,0.77,0.929,"0",153.928955866523,4.553,"0"
"14",52,144,155.236,700.528,46.284,16.783,10.925,151.952,0.845,17.804,2,149,694,141.843,11.884,1.536,0.651,0.894,"0",161.073825503356,5.92,"0"
"15",53,184,203.489,712.299,53.941,20.739,11.296,142.434,0.795,22.023,2,195,705,140.528,12.728,1.836,0.545,0.9,"0",204.444444444444,9.295,"0"
"16",56,186,24.382,766.07,53.941,20.637,11.476,122.564,0.803,21.471,2,20,756,117.759,12.481,1.798,0.556,0.899,"0",206.896551724138,8.99,"0"
"17",58,162,589.858,785.327,49.698,17.621,11.705,33.288,0.824,18.358,2,582,791,29.358,12.888,1.505,0.664,0.893,"0",181.410974244121,5.47,"0"
"18",61,194,824.351,822.438,54.184,21.01,11.757,136.143,0.83,21.401,2,819,813,127.405,12.494,1.787,0.56,0.907,"0",213.891951488423,8.907,"0"
"19",63,181,941.599,831.649,54.527,20.118,11.455,114.518,0.765,21.024,2,937,822,115.346,12.875,1.756,0.569,0.883,"0",204.983012457531,8.149,"0"
