ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,conidium
2,53,26.142,9.042,7.463,0.975,9.487,7.0,1.211,0.825,0.93,1
3,171,55.012,20.656,10.54,0.71,21.541,12.058,1.96,0.51,0.83,1
5,150,51.113,19.846,9.623,0.722,21.954,11.314,2.062,0.485,0.896,1
7,107,38.87,14.771,9.223,0.89,15.264,9.899,1.602,0.624,0.911,1
15,105,38.87,15.213,8.788,0.873,15.811,9.192,1.731,0.578,0.917,1
17,82,31.799,10.692,9.765,1.0,11.662,10.0,1.095,0.913,0.932,1
22,120,41.941,16.578,9.216,0.857,16.643,9.192,1.799,0.556,0.913,1
24,65,29.213,9.608,8.613,0.957,10.44,9.0,1.116,0.896,0.897,1
25,108,38.042,14.303,9.614,0.938,15.0,10.286,1.488,0.672,0.927,1
36,76,34.728,14.953,6.471,0.792,14.56,6.0,2.311,0.433,0.956,1
37,128,44.87,17.666,9.226,0.799,18.248,10.0,1.915,0.522,0.898,1
39,105,38.284,14.262,9.374,0.9,14.765,9.899,1.521,0.657,0.905,1
48,68,29.799,11.281,7.675,0.962,12.083,8.0,1.47,0.68,0.919,1
49,56,25.799,8.872,8.036,1.0,9.487,8.0,1.104,0.906,0.918,1
58,95,36.042,12.72,9.509,0.919,13.601,10.0,1.338,0.748,0.909,1
64,118,42.77,17.005,8.835,0.811,17.0,9.192,1.925,0.52,0.891,1
65,125,41.456,15.253,10.434,0.914,16.279,11.2,1.462,0.684,0.923,1
66,108,38.87,14.624,9.403,0.898,15.232,10.286,1.555,0.643,0.915,1
67,110,38.627,13.815,10.138,0.926,14.56,10.0,1.363,0.734,0.924,1
68,113,39.213,14.766,9.743,0.923,15.232,10.0,1.516,0.66,0.938,1
69,135,44.284,17.033,10.091,0.865,17.493,10.733,1.688,0.592,0.918,1
70,205,58.426,20.542,12.706,0.755,21.954,13.435,1.617,0.619,0.878,1
71,119,41.456,15.486,9.784,0.87,16.155,11.0,1.583,0.632,0.912,1
72,115,39.456,14.375,10.186,0.928,15.0,10.607,1.411,0.709,0.924,1
73,145,44.87,16.728,11.037,0.905,17.493,11.885,1.516,0.66,0.929,1
74,115,39.456,15.122,9.683,0.928,15.811,10.539,1.562,0.64,0.924,1
75,242,72.184,30.898,9.972,0.584,30.083,10.693,3.098,0.323,0.864,0
