ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
1,192,64.77,25.303,9.661,0.575,25.495,11.921,2.619,0.382,0.815,1
2,53,26.142,9.042,7.463,0.975,9.487,7.0,1.211,0.825,0.93,0
3,171,55.012,20.656,10.54,0.71,21.541,12.058,1.96,0.51,0.83,0
4,216,86.083,32.968,8.342,0.366,33.615,11.192,3.952,0.253,0.677,1
5,150,51.113,19.846,9.623,0.722,21.954,11.314,2.062,0.485,0.896,0
6,254,85.74,33.861,9.551,0.434,36.249,12.915,3.545,0.282,0.763,1
7,107,38.87,14.771,9.223,0.89,15.264,9.899,1.602,0.624,0.911,0
8,229,101.154,38.465,7.58,0.281,43.174,10.291,5.074,0.197,0.641,1
9,184,70.669,27.472,8.528,0.463,29.967,11.327,3.221,0.31,0.762,1
10,233,106.569,32.093,9.244,0.258,38.275,16.671,3.472,0.288,0.533,1
11,178,60.527,23.321,9.718,0.611,24.515,11.884,2.4,0.417,0.828,1
12,184,60.77,24.066,9.735,0.626,25.632,11.628,2.472,0.404,0.86,1
13,121,48.87,18.96,8.126,0.637,20.616,9.0,2.333,0.429,0.849,1
14,153,62.527,23.964,8.129,0.492,25.318,10.0,2.948,0.339,0.785,1
15,105,38.87,15.213,8.788,0.873,15.811,9.192,1.731,0.578,0.917,0
16,170,68.77,27.716,7.81,0.452,28.636,10.0,3.549,0.282,0.751,1
17,82,31.799,10.692,9.765,1.0,11.662,10.0,1.095,0.913,0.932,0
18,208,78.326,31.254,8.474,0.426,32.016,11.567,3.688,0.271,0.676,1
19,163,60.184,22.95,9.043,0.566,23.601,11.628,2.538,0.394,0.758,1
20,181,66.426,24.703,9.329,0.515,27.731,11.907,2.648,0.378,0.749,1
21,184,65.355,24.138,9.706,0.541,27.019,12.118,2.487,0.402,0.748,1
22,120,41.941,16.578,9.216,0.857,16.643,9.192,1.799,0.556,0.913,0
23,202,87.74,27.924,9.21,0.33,30.529,15.218,3.032,0.33,0.551,1
24,65,29.213,9.608,8.613,0.957,10.44,9.0,1.116,0.896,0.897,0
25,108,38.042,14.303,9.614,0.938,15.0,10.286,1.488,0.672,0.927,0
26,165,56.284,21.367,9.832,0.655,22.361,10.872,2.173,0.46,0.866,1
27,186,75.841,28.383,8.344,0.406,32.696,11.551,3.402,0.294,0.681,1
28,224,90.326,34.572,8.25,0.345,38.013,12.035,4.191,0.239,0.619,1
29,217,100.083,35.707,7.738,0.272,42.45,12.376,4.615,0.217,0.603,1
30,210,89.983,32.949,8.115,0.326,35.511,12.148,4.06,0.246,0.579,1
31,139,57.012,18.469,9.583,0.537,21.378,12.0,1.927,0.519,0.728,1
32,173,73.012,28.784,7.652,0.408,29.833,10.404,3.761,0.266,0.684,1
33,142,49.698,19.636,9.208,0.722,20.616,10.686,2.133,0.469,0.84,1
34,212,79.154,29.964,9.008,0.425,32.45,12.402,3.326,0.301,0.692,1
35,140,53.355,19.451,9.164,0.618,21.84,10.0,2.123,0.471,0.833,1
36,76,34.728,14.953,6.471,0.792,14.56,6.0,2.311,0.433,0.956,0
37,128,44.87,17.666,9.226,0.799,18.248,10.0,1.915,0.522,0.898,0
38,170,56.426,22.766,9.508,0.671,24.207,10.607,2.394,0.418,0.856,1
39,105,38.284,14.262,9.374,0.9,14.765,9.899,1.521,0.657,0.905,0
40,237,95.255,35.583,8.48,0.328,38.21,11.508,4.196,0.238,0.608,1
41,215,80.912,31.778,8.614,0.413,34.205,11.989,3.689,0.271,0.691,1
42,218,82.912,26.456,10.491,0.399,29.614,12.944,2.522,0.397,0.702,1
43,154,60.77,21.77,9.007,0.524,24.331,11.063,2.417,0.414,0.749,1
44,197,76.669,30.078,8.339,0.421,32.311,11.18,3.607,0.277,0.73,1
45,126,47.355,18.175,8.827,0.706,19.416,10.6,2.059,0.486,0.826,1
46,148,49.698,18.284,10.306,0.753,19.313,11.513,1.774,0.564,0.876,1
47,163,63.841,22.319,9.299,0.503,25.0,12.311,2.4,0.417,0.706,1
48,68,29.799,11.281,7.675,0.962,12.083,8.0,1.47,0.68,0.919,0
49,56,25.799,8.872,8.036,1.0,9.487,8.0,1.104,0.906,0.918,0
50,230,108.225,32.364,9.049,0.247,39.623,13.96,3.577,0.28,0.477,1
51,159,68.77,27.835,7.273,0.422,28.284,9.0,3.827,0.261,0.768,1
52,258,121.74,45.238,7.262,0.219,53.151,11.0,6.23,0.161,0.548,1
53,251,107.882,39.255,8.141,0.271,43.829,13.294,4.822,0.207,0.552,1
54,214,96.468,39.843,6.839,0.289,42.012,9.932,5.826,0.172,0.636,1
55,223,92.912,35.195,8.067,0.325,37.947,11.514,4.363,0.229,0.617,1
56,234,108.468,43.628,6.829,0.25,47.424,10.764,6.389,0.157,0.584,1
57,190,72.426,29.119,8.308,0.455,30.414,10.566,3.505,0.285,0.755,1
58,95,36.042,12.72,9.509,0.919,13.601,10.0,1.338,0.748,0.909,0
59,250,100.711,36.413,8.742,0.31,41.183,13.864,4.165,0.24,0.558,1
60,145,57.941,22.776,8.106,0.543,25.06,10.286,2.81,0.356,0.808,1
61,194,81.497,29.576,8.352,0.367,33.242,11.993,3.541,0.282,0.63,1
62,203,74.083,29.292,8.824,0.465,30.083,11.096,3.32,0.301,0.737,1
63,157,60.77,23.225,8.607,0.534,25.632,11.059,2.698,0.371,0.781,1
64,118,42.77,17.005,8.835,0.811,17.0,9.192,1.925,0.52,0.891,0
65,125,41.456,15.253,10.434,0.914,16.279,11.2,1.462,0.684,0.923,0
66,108,38.87,14.624,9.403,0.898,15.232,10.286,1.555,0.643,0.915,0
67,110,38.627,13.815,10.138,0.926,14.56,10.0,1.363,0.734,0.924,0
68,113,39.213,14.766,9.743,0.923,15.232,10.0,1.516,0.66,0.938,0
69,135,44.284,17.033,10.091,0.865,17.493,10.733,1.688,0.592,0.918,0
70,205,58.426,20.542,12.706,0.755,21.954,13.435,1.617,0.619,0.878,0
71,119,41.456,15.486,9.784,0.87,16.155,11.0,1.583,0.632,0.912,0
72,115,39.456,14.375,10.186,0.928,15.0,10.607,1.411,0.709,0.924,0
73,145,44.87,16.728,11.037,0.905,17.493,11.885,1.516,0.66,0.929,0
74,115,39.456,15.122,9.683,0.928,15.811,10.539,1.562,0.64,0.924,0
76,136,44.627,17.106,10.123,0.858,17.263,10.0,1.69,0.592,0.922,0
77,125,41.698,15.555,10.232,0.903,16.125,10.607,1.52,0.658,0.916,0
78,126,41.698,15.698,10.22,0.911,16.155,11.068,1.536,0.651,0.913,0
79,111,39.456,15.003,9.42,0.896,15.652,10.186,1.593,0.628,0.914,0
80,53,25.556,8.635,7.815,1.0,9.434,8.0,1.105,0.905,0.93,0
81,100,37.799,14.367,8.862,0.88,14.56,9.0,1.621,0.617,0.917,0
82,105,38.87,15.375,8.695,0.873,15.811,9.192,1.768,0.566,0.913,0
83,113,40.042,14.763,9.746,0.886,15.524,10.0,1.515,0.66,0.915,0
84,123,41.456,16.059,9.752,0.899,16.553,10.286,1.647,0.607,0.925,0
85,116,40.284,15.523,9.515,0.898,16.125,9.899,1.631,0.613,0.921,0
86,99,35.799,13.478,9.352,0.971,13.928,9.0,1.441,0.694,0.943,0
87,82,33.213,12.216,8.546,0.934,12.649,9.0,1.429,0.7,0.916,0
89,99,36.87,13.672,9.22,0.915,14.422,9.899,1.483,0.674,0.904,0
90,82,32.627,12.156,8.589,0.968,13.0,9.0,1.415,0.707,0.921,0
91,189,71.598,24.521,9.814,0.463,28.302,13.746,2.499,0.4,0.677,1
92,85,35.213,12.914,8.38,0.861,13.928,9.0,1.541,0.649,0.899,0
93,267,135.196,32.532,10.45,0.184,47.17,20.733,3.113,0.321,0.399,1
94,227,87.74,30.822,9.377,0.371,32.249,12.0,3.287,0.304,0.66,1
96,152,65.355,19.156,10.103,0.447,22.204,12.741,1.896,0.527,0.707,1
97,141,66.426,24.74,7.256,0.402,27.313,10.198,3.409,0.293,0.657,1
98,112,38.87,15.168,9.401,0.932,15.811,9.899,1.613,0.62,0.926,0
100,225,98.326,37.452,7.649,0.292,41.0,11.455,4.896,0.204,0.557,1
101,182,62.77,20.215,11.464,0.58,23.707,13.864,1.763,0.567,0.788,1
102,247,120.51,43.027,7.309,0.214,50.249,13.57,5.887,0.17,0.471,1
103,159,75.012,30.709,6.592,0.355,32.311,10.286,4.658,0.215,0.654,1
104,200,81.497,28.694,8.875,0.378,32.062,12.0,3.233,0.309,0.642,1
