ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
5423,177,49.7,18.26,12.34,0.9,19.42,12.73,1.48,0
2051,130,42.627,16.139,10.256,0.899,16.763,10.0,1.574,0
1634,106,37.799,14.144,9.542,0.932,14.318,9.0,1.482,0
8984,121,42.38,13.65,11.29,0.85,15.81,11.0,1.21,0
3638,207,60.43,22.86,11.53,0.71,23.41,12.07,1.98,0
6277,124,42.63,15.2,10.39,0.86,16.12,10.0,1.46,0
9289,157,46.28,16.39,12.19,0.92,17.49,12.73,1.34,0
1755,135,44.284,17.169,10.011,0.865,17.804,11.0,1.715,0
1192,131,43.213,16.584,10.058,0.882,17.088,10.0,1.649,0
7107,206,57.36,20.85,12.58,0.79,21.1,13.42,1.66,0
9811,164,53.36,18.01,11.6,0.72,20.4,13.0,1.55,0
5077,165,51.11,15.38,13.66,0.79,18.03,14.93,1.13,0
2019,140,45.698,17.288,10.311,0.842,18.439,11.314,1.677,0
667,184,53.698,19.787,11.84,0.802,21.932,13.435,1.671,0
7943,201,58.87,21.92,11.68,0.73,23.02,12.52,1.88,0
5871,123,41.46,13.39,11.7,0.9,14.87,12.0,1.14,0
4906,161,49.11,16.58,12.36,0.84,18.36,13.42,1.34,0
2681,141,46.87,17.444,10.292,0.807,18.385,11.0,1.695,0
1377,115,40.385,15.97,9.168,0.886,16.553,9.0,1.742,0
1147,113,39.213,14.72,9.774,0.923,15.264,10.0,1.506,0
2672,174,57.941,22.351,9.912,0.651,23.537,10.604,2.255,0
3528,130,42.63,14.18,11.67,0.9,15.81,12.52,1.21,0
1133,102,38.042,13.582,9.562,0.886,14.318,10.0,1.42,0
9753,183,52.53,19.38,12.02,0.83,19.92,12.37,1.61,0
3470,218,61.11,21.38,12.98,0.73,22.85,14.0,1.65,0
1860,163,49.113,18.333,11.321,0.849,19.235,12.0,1.619,0
5769,121,45.46,15.5,9.94,0.74,18.36,11.46,1.56,0
9971,109,38.04,12.15,11.42,0.95,13.04,12.0,1.06,0
648,170,49.698,17.765,12.184,0.865,18.439,12.0,1.458,0
163,157,48.042,17.633,11.337,0.855,18.385,12.0,1.555,0
1513,118,39.799,14.784,10.162,0.936,15.232,10.0,1.455,0
9525,212,60.28,22.07,12.23,0.73,23.02,13.58,1.8,0
6924,345,87.5,31.08,14.13,0.57,31.78,17.67,2.2,0
9080,178,53.11,19.7,11.51,0.79,20.25,12.44,1.71,0
6026,148,45.46,14.11,13.36,0.9,15.3,13.0,1.06,0
2341,162,47.698,15.797,13.057,0.895,17.029,14.0,1.21,0
9406,202,58.53,22.22,11.58,0.74,23.71,12.74,1.92,0
1568,128,42.284,16.05,10.154,0.9,16.763,10.752,1.581,0
5641,164,48.87,17.11,12.2,0.86,19.21,13.4,1.4,0
6370,110,38.04,12.5,11.2,0.96,13.6,11.93,1.12,0
8613,218,61.7,22.69,12.24,0.72,22.85,12.81,1.85,0
7387,224,59.11,22.2,12.85,0.81,22.36,13.56,1.73,0
8539,222,57.36,21.8,12.96,0.85,22.36,14.1,1.68,0
1466,134,45.698,17.834,9.567,0.806,18.601,10.539,1.864,0
2092,137,46.77,19.224,9.074,0.787,19.416,9.899,2.119,0
5001,170,48.53,16.84,12.85,0.91,18.03,13.86,1.31,0
9930,131,43.46,14.18,11.76,0.87,15.23,12.33,1.21,0
640,178,50.527,17.741,12.775,0.876,18.439,13.481,1.389,0
8243,193,55.36,18.93,12.98,0.79,20.0,13.95,1.46,0
9403,196,53.7,20.2,12.35,0.85,21.19,12.97,1.64,0
8565,237,69.6,23.25,12.98,0.61,26.4,16.13,1.79,0
9109,228,62.18,22.59,12.85,0.74,24.33,14.0,1.76,0
8045,213,55.94,20.17,13.44,0.86,21.4,14.8,1.5,0
7514,202,55.7,20.96,12.27,0.82,21.38,13.0,1.71,0
6195,111,38.38,12.72,11.11,0.95,14.21,11.0,1.14,0
1019,189,53.941,20.781,11.58,0.816,21.541,12.627,1.795,0
1727,148,45.456,17.343,10.866,0.9,18.028,11.0,1.596,0
6294,195,62.43,20.45,12.14,0.63,21.63,14.46,1.68,0
3514,174,50.04,17.02,13.01,0.87,17.72,13.0,1.31,0
1719,127,41.698,14.933,10.829,0.918,15.811,11.884,1.379,0
