ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
2,164,71.255,15.212,13.727,0.406,18.682,15.689,1.108,0.902,0.737,0
3,383,116.711,27.811,17.534,0.353,32.016,22.768,1.586,0.63,0.717,0
4,44,26.971,8.606,6.51,0.76,10.817,7.0,1.322,0.756,0.863,0
5,416,146.51,34.28,15.451,0.244,39.459,21.294,2.219,0.451,0.656,0
8,60,37.113,10.639,7.18,0.547,12.649,9.0,1.482,0.675,0.741,0
9,292,139.095,22.684,16.39,0.19,29.833,21.901,1.384,0.723,0.616,0
11,98,38.87,14.023,8.898,0.815,15.0,10.118,1.576,0.635,0.879,1
12,105,40.284,14.246,9.384,0.813,15.264,10.307,1.518,0.659,0.89,1
13,59,30.627,11.133,6.747,0.79,12.806,7.778,1.65,0.606,0.861,0
14,49,26.971,7.969,7.829,0.846,9.22,8.0,1.018,0.983,0.875,0
21,288,87.255,34.044,10.771,0.475,36.674,12.707,3.161,0.316,0.822,0
22,213,87.64,21.349,12.703,0.348,30.364,17.292,1.681,0.595,0.59,0
24,276,101.296,22.755,15.443,0.338,28.178,20.0,1.473,0.679,0.732,0
25,280,104.711,23.192,15.372,0.321,26.683,19.645,1.509,0.663,0.715,0
30,124,58.77,16.895,9.345,0.451,20.616,12.625,1.808,0.553,0.634,1
36,283,143.439,28.752,12.532,0.173,46.487,21.428,2.294,0.436,0.385,0
38,359,92.811,29.177,15.666,0.524,32.802,18.657,1.862,0.537,0.774,0
41,98,46.527,13.582,9.187,0.569,15.297,11.0,1.478,0.676,0.76,1
48,137,60.426,18.413,9.473,0.471,21.213,11.201,1.944,0.515,0.714,1
51,129,51.355,18.014,9.118,0.615,18.974,10.672,1.976,0.506,0.801,1
53,67,34.042,11.668,7.311,0.727,12.649,8.731,1.596,0.627,0.812,0
54,54,34.87,13.498,5.094,0.558,13.928,6.261,2.65,0.377,0.75,0
56,262,125.681,28.585,11.67,0.208,44.944,19.812,2.449,0.408,0.411,0
58,118,42.284,15.843,9.483,0.829,17.029,10.6,1.671,0.599,0.887,1
59,99,45.941,15.16,8.315,0.589,17.464,9.839,1.823,0.548,0.808,1
60,62,52.184,23.418,3.371,0.286,23.854,5.088,6.947,0.144,0.633,0
61,49,28.971,11.706,5.33,0.734,11.705,6.0,2.196,0.455,0.875,0
64,73,36.87,11.152,8.335,0.675,13.038,9.731,1.338,0.747,0.798,0
66,160,48.527,16.679,12.214,0.854,18.028,13.205,1.366,0.732,0.879,1
68,113,49.941,17.836,8.066,0.569,19.235,9.519,2.211,0.452,0.779,1
71,136,60.426,20.651,8.385,0.468,24.166,11.039,2.463,0.406,0.747,1
73,355,105.539,30.904,14.626,0.401,34.059,19.244,2.113,0.473,0.719,0
80,276,90.912,28.953,12.137,0.42,35.114,16.0,2.385,0.419,0.735,0
89,314,186.451,40.027,9.988,0.114,59.506,16.506,4.007,0.25,0.44,0
92,266,90.468,26.132,12.96,0.408,29.732,17.605,2.016,0.496,0.659,0
98,373,198.208,28.594,16.609,0.119,61.294,36.658,1.722,0.581,0.27,0
100,379,159.924,39.722,12.148,0.186,53.085,21.467,3.27,0.306,0.503,0
106,51,27.556,8.985,7.227,0.844,10.198,7.0,1.243,0.804,0.864,0
108,290,129.196,26.579,13.892,0.218,41.231,21.493,1.913,0.523,0.519,0
120,205,71.497,22.297,11.706,0.504,25.554,14.849,1.905,0.525,0.743,1
