ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
7792,486,97.64,25.19,24.57,0.64,31.95,27.0,1.03,0.98,0.84,0
7826,360,89.25,38.42,11.93,0.57,36.89,13.41,3.22,0.31,0.86,0
9290,503,109.4,45.27,14.15,0.53,43.86,16.46,3.2,0.31,0.81,0
8091,307,72.43,22.33,17.5,0.74,23.77,20.0,1.28,0.78,0.86,0
1875,261,75.355,32.64,10.181,0.578,31.257,11.158,3.206,0.312,0.846,0
3578,308,83.98,34.77,11.28,0.55,34.66,14.14,3.08,0.32,0.82,0
936,214,59.698,21.295,12.795,0.755,22.472,13.0,1.664,0.601,0.905,0
6048,427,108.95,40.75,13.34,0.45,41.4,19.8,3.05,0.33,0.71,0
3872,287,84.08,33.62,10.87,0.51,33.6,13.03,3.09,0.32,0.81,0
9768,291,78.91,28.54,12.98,0.59,28.6,16.59,2.2,0.45,0.8,0
3112,116,42.87,14.211,10.393,0.793,15.524,11.0,1.367,0.731,0.889,0
377,334,84.77,34.65,12.273,0.584,34.132,13.399,2.823,0.354,0.877,0
2588,335,96.468,27.01,15.792,0.452,31.145,17.678,1.71,0.585,0.771,0
4407,342,81.5,32.01,13.6,0.65,33.02,15.69,2.35,0.42,0.87,0
8665,565,126.57,55.28,13.01,0.44,54.15,14.81,4.25,0.24,0.84,0
959,121,42.87,14.048,10.967,0.827,16.279,12.0,1.281,0.781,0.89,0
6986,572,137.3,62.24,11.7,0.38,59.24,13.14,5.32,0.19,0.83,0
9947,404,92.43,29.54,17.42,0.59,30.61,21.0,1.7,0.59,0.84,0
349,373,89.054,37.353,12.714,0.591,36.359,13.9,2.938,0.34,0.864,0
2836,371,80.083,27.177,17.381,0.727,30.0,19.368,1.564,0.64,0.885,0
2865,237,77.154,26.178,11.527,0.5,29.155,14.197,2.271,0.44,0.772,0
921,137,46.527,14.217,12.269,0.795,15.524,13.2,1.159,0.863,0.856,0
7793,299,82.08,30.18,12.61,0.56,31.76,14.42,2.39,0.42,0.84,0
6496,393,88.57,34.72,14.41,0.63,35.34,16.9,2.41,0.42,0.86,0
1584,116,41.456,15.037,9.822,0.848,15.811,10.983,1.531,0.653,0.892,0
1646,209,56.184,18.415,14.45,0.832,19.235,15.556,1.274,0.785,0.88,0
9300,290,67.6,24.3,15.19,0.8,26.25,16.3,1.6,0.63,0.9,0
8543,498,127.3,48.38,13.11,0.39,48.08,17.09,3.69,0.27,0.7,0
769,193,55.113,20.342,12.08,0.798,22.361,13.859,1.684,0.594,0.904,0
2238,371,115.397,36.548,12.925,0.35,42.379,18.722,2.828,0.354,0.6,0
2274,460,164.167,48.422,12.096,0.214,64.382,20.832,4.003,0.25,0.445,0
3108,500,121.397,49.503,12.86,0.426,49.366,15.876,3.849,0.26,0.807,0
8616,283,76.43,29.04,12.41,0.61,28.86,14.32,2.34,0.43,0.83,0
926,395,106.711,24.718,20.347,0.436,29.732,24.421,1.215,0.823,0.779,0
8964,443,119.15,42.84,13.17,0.39,44.6,18.19,3.25,0.31,0.67,0
3067,119,50.527,18.147,8.349,0.586,20.0,10.151,2.173,0.46,0.78,0
6470,375,94.53,41.81,11.42,0.53,39.85,12.64,3.66,0.27,0.88,0
4149,374,93.15,35.24,13.51,0.54,36.4,18.58,2.61,0.38,0.77,0
782,429,84.326,25.841,21.138,0.758,30.265,23.0,1.222,0.818,0.896,0
2840,473,80.669,24.699,24.383,0.913,26.42,25.0,1.013,0.987,0.938,0
3581,172,58.77,21.29,10.29,0.63,23.32,12.36,2.07,0.48,0.82,0
161,597,164.752,49.986,15.207,0.276,61.131,24.584,3.287,0.304,0.581,0
8920,376,90.57,32.51,14.73,0.58,35.85,17.39,2.21,0.45,0.86,0
6812,170,73.36,31.1,6.96,0.4,30.87,8.9,4.47,0.22,0.76,0
6867,263,82.43,31.02,10.79,0.49,32.25,12.87,2.87,0.35,0.8,0
9496,546,108.12,36.49,19.05,0.59,37.36,20.12,1.91,0.52,0.85,0
