,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
737,196,89.154,36.131,6.907,0.31,38.275,9.803,5.231,0.191,0.647,1
5535,175,69.255,25.098,8.878,0.459,28.018,12.021,2.827,0.354,0.719,1
7191,205,89.64,35.707,7.31,0.321,39.051,11.314,4.885,0.205,0.637,1
8556,160,46.527,14.998,13.583,0.929,16.553,14.142,1.104,0.906,0.907,0
3307,231,105.64,26.877,10.943,0.26,35.228,18.0,2.456,0.407,0.545,1
8574,103,36.87,13.615,9.632,0.952,14.318,10.262,1.414,0.707,0.916,0
897,67,30.627,10.401,8.202,0.898,11.402,9.0,1.268,0.789,0.87,0
6523,148,67.841,26.278,7.171,0.404,29.967,10.262,3.664,0.273,0.71,1
3298,281,96.225,38.669,9.252,0.381,39.395,12.42,4.179,0.239,0.682,1
4376,243,86.811,35.555,8.702,0.405,37.59,12.923,4.086,0.245,0.677,1
2331,128,42.87,15.201,10.721,0.875,15.811,11.628,1.418,0.705,0.908,0
2047,80,32.627,11.679,8.721,0.944,12.649,9.0,1.339,0.747,0.914,0
8174,105,38.627,15.475,8.639,0.884,15.811,9.0,1.791,0.558,0.929,0
10346,98,37.456,15.065,8.282,0.878,15.652,9.261,1.819,0.55,0.907,0
6320,94,36.042,12.607,9.494,0.909,13.416,10.0,1.328,0.753,0.895,0
2502,227,119.64,35.598,8.119,0.199,48.765,15.329,4.384,0.228,0.454,1
8114,94,37.799,15.21,7.869,0.827,15.524,8.0,1.933,0.517,0.922,0
9014,93,37.213,14.102,8.397,0.844,14.866,9.0,1.68,0.595,0.899,0
10,178,60.527,23.321,9.718,0.611,24.515,11.884,2.4,0.417,0.828,1
9904,153,70.083,21.993,8.858,0.391,26.249,12.791,2.483,0.403,0.594,1
7309,165,72.184,28.32,7.418,0.398,30.463,10.733,3.818,0.262,0.702,1
5623,115,39.456,14.192,10.317,0.928,14.866,10.914,1.376,0.727,0.924,0
9489,291,99.882,24.271,15.266,0.367,32.016,21.356,1.59,0.629,0.653,-1
7188,205,89.497,30.269,8.623,0.322,36.892,12.954,3.51,0.285,0.596,1
5086,221,89.397,33.935,8.292,0.348,36.688,12.145,4.093,0.244,0.635,1
8983,156,66.669,22.028,9.017,0.441,25.71,12.442,2.443,0.409,0.664,1
2874,163,63.941,25.056,8.283,0.501,26.926,11.477,3.025,0.331,0.734,1
6366,191,78.326,26.981,9.013,0.391,31.623,13.152,2.993,0.334,0.641,1
9215,130,42.87,16.174,10.234,0.889,16.763,11.0,1.58,0.633,0.919,0
7661,165,73.841,27.664,7.594,0.38,30.232,11.628,3.643,0.275,0.598,1
