ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Solidity,Convex,FeretRatio,Germinated,Debris
1,165,48.53,17.24,12.19,0.88,17.89,12.96,1.41,0.9,183,0.724,0,0
2,240,85.25,32.61,9.37,0.41,33.73,12.42,3.48,0.69,347,0.368,1,0
3,410,153.88,58.96,8.85,0.22,61.81,14.99,6.66,0.52,788,0.243,1,0
4,322,117.88,38.19,10.74,0.29,47.42,16.17,3.56,0.53,607,0.341,1,0
5,379,156.95,53.83,8.96,0.19,64.76,15.38,6.0,0.47,806,0.237,1,0
6,190,63.6,22.94,10.54,0.59,25.24,13.65,2.18,0.77,246,0.541,0,0
7,127,44.87,16.24,9.95,0.79,16.76,10.61,1.63,0.9,141,0.633,0,0
8,297,112.57,42.13,8.98,0.29,47.85,15.21,4.69,0.6,495,0.318,1,0
9,294,105.25,37.8,9.9,0.33,42.72,15.14,3.82,0.64,459,0.354,1,0
10,260,81.15,31.93,10.37,0.5,33.3,13.78,3.08,0.74,351,0.414,1,0
11,302,97.64,35.29,10.9,0.4,39.2,16.44,3.24,0.65,464,0.419,1,0
12,347,159.92,38.53,11.47,0.17,57.71,20.96,3.36,0.38,913,0.363,1,0
13,331,149.58,56.24,7.49,0.19,62.43,13.33,7.5,0.46,719,0.214,1,0
14,253,75.5,30.19,10.67,0.56,32.56,12.84,2.83,0.84,301,0.394,0,0
15,146,49.36,18.21,10.21,0.75,20.25,11.31,1.78,0.88,165,0.559,0,0
16,151,49.46,14.74,13.05,0.78,17.8,13.0,1.13,0.9,167,0.73,0,0
17,226,96.67,33.84,8.5,0.3,42.06,12.37,3.98,0.64,353,0.294,1,0
18,206,66.77,24.79,10.58,0.58,25.96,11.84,2.34,0.84,245,0.456,0,0
19,318,126.61,45.79,8.84,0.25,52.55,14.13,5.18,0.55,578,0.269,1,0
20,328,142.27,46.11,9.06,0.2,57.43,15.38,5.09,0.44,745,0.268,1,0
21,222,74.43,29.17,9.69,0.5,28.23,12.24,3.01,0.77,288,0.434,0,0
22,268,88.43,36.42,9.37,0.43,36.4,12.09,3.89,0.74,362,0.332,1,0
23,225,80.53,32.57,8.8,0.44,34.48,11.7,3.7,0.77,292,0.339,1,0
24,220,82.43,33.16,8.45,0.41,35.23,11.0,3.92,0.75,293,0.312,1,0
25,282,104.27,45.31,7.92,0.33,45.45,11.41,5.72,0.71,397,0.251,1,0
26,415,181.34,57.61,9.17,0.16,78.26,16.23,6.28,0.43,965,0.207,1,0
